Neighbourhood,Street Code,latitude,longitude
Bakoven,,-33.9636,18.3816
Bantry Bay,,-33.9283,18.3794
Camps Bay,,-33.9513,18.3831
Clifton,,-33.9415,18.3738
Fresnaye,,-33.925,18.3875
Green Point,,-33.9046,18.4068
Hout Bay,,-34.0209,18.3683
Imizamo Yethu,,-34.0287,18.3608
Llandudno,,-34.01,18.343
Mouille Point,,-33.9004,18.4031
Sea Point,,-33.9169,18.3875
Three Anchor Bay,,-33.9075,18.3964
